Date,Open Interest,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Swap Dealer Longs,Swap Dealer Shorts,Swap Dealer Spreads,Money Manager Longs,Money Manager Shorts,Money Manager Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
2014/10/14,641301,65265,96380,44462,94244,136195,131646,79652,37952,59928,24562,127453,602900,596437,38401,44864
2014/10/21,669147,63295,106946,42512,106271,144501,141899,66626,43393,62358,26352,133654,631612,627744,37535,41403
2014/10/28,641605,58125,104031,49188,105354,135611,136561,66263,42531,59813,25589,125156,606985,604535,34621,37070
2014/11/4,691425,65086,95936,64600,87631,150589,120480,75408,48934,53722,37556,149047,652458,645101,38967,46324
2014/11/11,735438,76651,107173,67967,86656,166077,116822,78149,51158,55291,39208,160973,694939,689395,40499,46043
2014/11/18,755453,85090,121603,63907,101818,171200,125712,65405,50135,58444,33875,162427,716914,706463,38539,48990
2014/11/25,595199,53969,91917,60878,107144,122319,124964,58736,33730,55221,29971,107084,558166,550901,37033,44298
2014/12/2,578664,48748,94386,53480,112561,116427,128656,49159,29966,55958,30704,107328,540563,540531,38101,38133
2014/12/9,598203,52854,109975,42763,122019,114858,143086,38554,32314,60070,29017,110135,556081,556873,42122,41330
2014/12/16,595431,54304,114335,42601,115611,122417,139547,35809,30153,57089,24453,111783,557894,554560,37537,40871
2014/12/23,570538,49708,98439,45144,115022,119586,134693,41594,28941,57283,25184,102193,537549,530960,32989,39578
2014/12/30,569339,46263,99136,40924,116032,116037,136562,38171,32436,58439,25687,100664,531325,528163,38014,41176
2015/1/6,597165,50967,108634,39979,120433,118514,140630,33896,41389,60014,28383,107030,558524,558281,38641,38884
2015/1/13,607853,52810,116698,38453,129420,116521,144792,30064,39775,63197,29374,109419,564968,571271,42885,36583
2015/1/20,700698,51976,139939,37596,151405,131236,173268,27536,52128,74954,31985,131462,652620,665690,48078,35007
2015/1/27,656429,43600,138507,39746,172950,114316,189594,21901,44706,72690,29146,104780,609433,626307,46996,30122
2015/2/3,639243,45346,135033,42878,175136,111585,182772,20774,43500,65486,24388,98882,590449,609298,48794,29946
2015/2/10,609302,40545,118178,47523,159579,113945,157507,23543,42237,61660,22641,99544,562961,579666,46341,29636
2015/2/17,602502,39710,112570,50532,137469,117147,144043,33879,43930,60729,24302,100869,556960,570166,45542,32336
2015/2/24,592890,40993,109293,54391,136581,117057,139507,35979,46575,60248,24911,93625,552395,564021,40494,28869
2015/3/3,598983,40831,103414,60004,134520,116381,130432,42466,45955,64761,24214,96620,554985,563571,43998,35412
2015/3/10,630766,45218,94515,63982,120392,133146,122107,57182,46625,65192,32888,108645,584915,593392,45852,37374
2015/3/17,667988,51405,92767,61685,94546,162940,112387,77266,49943,66055,31376,117959,622373,626796,45615,41192
2015/3/24,667089,47817,91454,64173,94310,158183,115675,84022,55684,68857,26254,117124,627514,627032,39575,40057
2015/3/31,572616,41793,92825,63232,102217,116568,112473,66797,42474,67642,24692,92285,536466,537858,36149,34757
2015/4/7,579573,42389,104738,56654,112691,111595,122148,56782,44526,69518,23938,94706,541537,548976,38037,30597
2015/4/14,586197,40077,102240,53124,104933,114580,119332,61729,47791,74058,22912,99609,548571,553794,37626,32403
2015/4/21,592646,37776,93348,51026,111391,115249,118094,59628,50303,76023,22235,105060,553530,557213,39116,35434
2015/4/28,592531,34356,89166,50259,110710,117343,124226,63573,51289,73104,23855,103691,554269,559628,38263,32903
2015/5/5,598100,36835,77469,58850,99152,122396,105810,74149,55800,71446,24026,110906,562044,563898,36057,34203
2015/5/12,601344,37337,80661,57331,97455,130683,111116,74966,47088,71597,25014,110769,565921,566636,35423,34708
2015/5/19,628414,35273,112691,54915,118057,130903,140022,53350,42669,68036,24457,114023,585841,596151,42573,32263
2015/5/26,567268,31623,106815,60788,102193,113841,131569,58544,31688,65234,27130,92860,527603,533072,39665,34196
2015/6/2,559404,31366,106753,62967,103559,107198,131644,62736,30977,67981,25251,91248,523380,527722,36024,31682
2015/6/9,572475,34250,96699,73144,94178,109993,126955,82238,33169,62829,28166,93831,534172,538274,38303,34201
2015/6/16,587957,32537,93868,72069,94029,117915,131034,88216,33858,64487,25692,98827,550728,552406,37229,35551
2015/6/23,602869,31706,110301,69093,95665,119594,131698,84027,35461,75509,24426,100286,563349,569760,39521,33109
2015/6/30,607373,32769,99317,73211,84746,126225,120195,98715,41372,75880,27588,96664,566316,574627,41056,32746
2015/7/7,624457,36361,91697,80755,78489,128648,115985,108411,46576,76536,33501,98228,583089,585550,41368,38907
2015/7/14,636436,39704,93722,80105,76410,137379,112948,108315,44289,76700,32349,105458,596582,597921,39854,38515
2015/7/21,688184,50922,92929,85402,61021,152912,109893,121238,49444,73809,38896,125759,648142,642199,40042,45985
2015/7/28,630687,41358,81076,84352,56050,136868,109745,121079,43117,71215,36003,111203,597857,585395,32829,45292
2015/8/4,635992,41334,83553,86124,57155,128119,105958,116251,48548,75277,37336,114271,599630,585232,36362,50760
2015/8/11,634115,38447,85649,83827,61350,126958,111949,114743,47209,73068,37972,113507,594965,587387,39150,46729
2015/8/18,636582,37168,88602,83003,65291,129921,117052,104288,49532,68064,35755,115741,600480,589129,36102,47453
2015/8/25,661565,36280,108621,75091,71124,139946,125505,81234,57366,67899,35454,123161,625248,616905,36317,44660
2015/9/1,608673,31653,101990,69261,73365,128351,118862,74446,46251,66533,33176,111255,572166,568834,36507,39839
2015/9/8,616676,39716,97846,67319,65907,131351,116101,87815,47299,65716,34193,112083,579585,576493,37091,40183
2015/9/15,609014,36839,79925,71016,57973,132107,104520,97654,52419,64372,35147,111341,572613,566565,36402,42449
2015/9/22,611945,38829,95592,62724,61645,132116,110892,89367,49847,69824,31987,112187,576420,572740,35525,39205
2015/9/29,600090,42024,107312,56416,66888,129398,117169,75320,50590,67210,30312,101422,564229,561243,35861,38847
2015/10/6,625986,42850,114207,57267,80945,129199,120576,70754,58242,73422,30424,107163,588719,590934,37267,35053
2015/10/13,641353,40980,127833,56641,97894,130064,132909,50363,57369,73583,29596,110464,602009,603583,39343,37770
2015/10/20,686201,41278,151324,51362,116268,131051,159450,37646,64463,73682,32686,117910,639197,651349,47004,34852
2015/10/27,652091,38976,148809,51479,113127,127067,152588,31943,61911,73189,31106,106076,611287,620039,40804,32052
2015/11/3,631868,43728,134913,57406,89601,128477,119073,46998,61976,71076,29501,107089,588825,598555,43043,33313
2015/11/10,639510,45742,112867,62492,64720,138483,93566,72036,65058,73666,30420,115863,594870,599446,44640,40064
2015/11/17,656475,47499,98978,67334,40320,155290,92318,101307,58949,72766,34814,118228,612384,607886,44091,48589
2015/11/24,535410,39338,83029,62913,35806,112640,93941,108596,41724,68151,33253,74858,493565,489905,41845,45505
2015/12/1,536215,42857,76474,62062,35495,113136,92791,110740,42364,67688,36699,76480,497378,491388,38837,44828
2015/12/8,542365,41605,79921,58215,39443,113042,95488,109577,44807,69170,30584,81136,503463,498510,38902,43855
2015/12/15,553569,36924,78191,61963,36466,118493,88430,110311,47754,71525,29331,89566,514656,510113,38913,43457
2015/12/22,561090,35050,89483,62625,36772,118126,83508,98410,50205,72425,25340,100312,522251,518648,38839,42442
2015/12/29,539984,37361,80848,57752,34325,110951,78757,103020,49199,73270,25697,93336,500626,497375,39358,42608
2016/1/5,552648,37261,81523,55579,35138,113153,81837,95414,57610,72927,28763,97120,515488,508721,37160,43927
2016/1/12,551508,39420,89684,47977,44972,118408,85795,84893,56205,75149,27804,87277,510231,509243,41277,42265
2016/1/19,567155,40595,88200,49593,45655,116222,86795,84861,62103,72998,27859,101567,529872,526467,37282,40688
2016/1/26,530273,33062,86327,43775,60140,95215,102247,78398,58873,76262,31380,79485,488919,489817,41354,40455
2016/2/2,537133,40376,99861,46345,75569,92516,106429,70809,58627,77892,29648,71848,494033,498878,43100,38255
2016/2/9,643820,47549,124398,49177,103959,112439,130180,57268,69500,89767,37293,97718,596329,602575,47491,41245
2016/2/16,697444,54640,149025,49657,118692,125227,135407,41473,75144,89691,34999,116060,645826,660620,51618,36823
2016/2/23,733879,49967,163836,47970,131014,132166,152715,29149,77529,93687,38274,124513,678547,696481,55332,37398
2016/3/1,701954,45063,165255,49410,131967,116669,150481,27942,73215,97937,36859,113206,645981,665114,55973,36840
2016/3/8,788410,48437,184306,48630,146303,124994,178673,30407,93319,102006,37415,133224,729283,749968,59127,38442
2016/3/15,761637,48612,180955,52368,139931,117565,171675,24870,87754,94843,38225,133971,706787,723270,54850,38367
2016/3/22,782861,50050,188565,50967,150050,124922,187143,25533,85482,92201,37472,135401,726166,747423,56695,35438
2016/3/29,689723,44424,175467,50824,152611,100870,193139,28193,53096,84966,35797,108964,636284,654999,53440,34724
2016/4/5,685591,41806,176333,51735,147620,98643,194839,31250,59299,82862,33102,104590,633774,650839,51817,34752
2016/4/12,743572,42799,194100,54870,164298,106177,214349,30131,65116,91678,33172,114845,689834,707839,53739,35734
2016/4/19,735270,41210,195195,49506,164136,106405,219307,31277,61442,88980,31441,113821,680671,703717,54600,31553
2016/4/26,703778,38337,189694,48535,160677,102463,215149,31062,56904,87841,28585,104542,653771,673927,50007,29851
2016/5/3,816948,42019,219556,48080,194004,113648,258045,24407,79107,98446,32188,121785,761130,784694,55818,32254
2016/5/10,819565,42489,208046,48329,197061,114288,256187,30303,82044,96897,29373,123137,763372,784252,56194,35313
2016/5/17,847879,47045,204468,47674,213141,116357,256529,28878,92771,102427,31428,127718,790520,814759,57360,33120
2016/5/24,776500,84991,188238,41372,192164,100528,211311,41820,68327,92239,27655,119593,718361,738325,58139,38175
2016/5/31,679932,67775,166603,41927,176861,91068,196117,40341,48666,85786,25925,97086,628425,646550,51507,33382
2016/6/7,701199,48637,174056,40768,181114,97917,219813,33251,53315,89627,25512,100135,650212,665299,50986,35899
2016/6/14,794622,54225,208812,39890,208356,110370,267663,26801,57640,99034,33857,115381,744204,761217,50418,33405
2016/6/21,815220,57019,209265,36313,219009,117166,279379,22481,63262,91769,32142,117609,762517,780934,52703,34286
2016/6/28,854547,55887,211315,38472,237116,123004,297407,24228,73838,94305,37701,118025,800938,825227,53609,29320
2016/7/5,946255,60261,215476,40562,257356,133745,315643,28722,103736,99194,38369,136761,889903,914166,56352,32089
2016/7/12,910785,64745,212134,35358,245331,127293,303991,32462,93223,90645,32906,137751,853006,881101,57780,29685
