      date,    open,    high,    low,    close,         vol,  ma5  ,  ma10  ,  ma20   ,   ma60  ,ma5-ma20
 2011/08/31,1836.98,1847.58,1826.71,1841.54,12003855,1853.65,1831.75,1837.3,1920.38,0.889892777
 2011/09/01,1845.46,1859.82,1834.7,1840.37,11876163,1846.05,1833.32,1834.55,1918.59,0.626856722
 2011/09/02,1836.2,1841.75,1811.27,1820.68,11404027,1834.9,1834.72,1833.07,1916.42,0.099832521
 2011/09/05,1805.89,1805.89,1783.95,1786.46,12839515,1824.8,1834.38,1832.68,1913.76,-0.429971408
 2011/09/06,1776.81,1789.03,1770.37,1779.52,12083635,1813.7,1830.2,1831.56,1910.59,-0.97512503
 2011/09/07,1787.09,1816.15,1781.79,1813.86,12641629,1808.2,1830.93,1831.53,1908.29,-1.273798409
 2011/09/08,1820.11,1820.42,1798.99,1799.78,8883493,1800.05,1823.05,1829.5,1906.17,-1.609729434
 2011/09/09,1809.51,1827.47,1791.9,1800.93,11038680,1796.15,1815.53,1827.64,1904.31,-1.722987022
 2011/09/13,1775.22,1787.73,1768.88,1783.18,10984081,1795.45,1810.13,1823.18,1902.28,-1.520968857
 2011/09/14,1789.87,1792.99,1753.56,1787.11,12465577,1797,1805.35,1819.39,1900,-1.230632245
 2011/09/15,1787.09,1799.11,1779.32,1779.68,12650526,1790.15,1799.18,1815.46,1897.6,-1.394137023
 2011/09/16,1790.31,1798.02,1778.85,1784.93,10598144,1787.15,1793.6,1813.46,1894.84,-1.450817774
 2011/09/19,1772.29,1772.29,1749.22,1749.7,11173488,1776.9,1786.53,1810.63,1890.71,-1.862887503
 2011/09/20,1748.2,1766.06,1740.91,1757.64,9603734,1771.85,1783.65,1809.01,1886.76,-2.054162221
 2011/09/21,1758.73,1814.55,1749.38,1808.37,20566628,1776.05,1786.53,1808.36,1883.67,-1.786701763
 2011/09/22,1790.7,1797.34,1749.69,1750.61,17384536,1770.25,1780.2,1805.56,1880.17,-1.955625955
 2011/09/23,1726.31,1748.26,1714.21,1740.32,17192884,1761.35,1774.25,1798.65,1876.02,-2.073777555
 2011/09/26,1724.03,1743.79,1684.84,1689.93,16031800,1749.4,1763.15,1789.34,1871.08,-2.232107928
 2011/09/27,1708,1721.16,1697.27,1710.99,13166515,1740,1755.93,1783.03,1865.7,-2.413307684
 2011/09/28,1722.61,1725.97,1690.84,1695.84,12167434,1717.55,1746.8,1776.07,1860.14,-3.294915178
 2011/09/29,1684.82,1703.83,1679.2,1689.54,13532896,1705.3,1737.78,1768.47,1854.68,-3.572014227
 2011/09/30,1693.46,1702.78,1678.42,1684.5,13486790,1694.15,1727.75,1760.68,1849.32,-3.778653702
 2011/10/10,1688.41,1693.16,1666.1,1669.35,11448922,1690,1719.7,1753.11,1843.56,-3.599888199
 2011/10/11,1720.15,1726.43,1659.73,1675.42,19114804,1682.95,1711.47,1747.56,1837.97,-3.69715489
 2011/10/12,1666.8,1739.32,1657.35,1737.36,27283618,1691.25,1704.4,1745.46,1834.13,-3.105771544
 2011/10/13,1732.07,1751.29,1726.78,1746.94,21101852,1702.7,1704,1742.1,1829.94,-2.261638253
 2011/10/14,1741.89,1749.02,1726.59,1745.21,13481832,1714.85,1704.5,1739.38,1825.6,-1.410272626
 2011/10/17,1748.08,1770.26,1744.13,1757.06,13995038,1732.4,1711.2,1737.18,1821.35,-0.27515859
 2011/10/18,1742.09,1746.97,1705.92,1709.28,15433243,1739.15,1711.05,1733.49,1816.45,0.32650895
 2011/10/19,1715.15,1729.23,1706.56,1708.95,12019614,1733.45,1712.35,1729.57,1811.8,0.224333216
 2011/10/20,1698.78,1702.74,1660.89,1674.03,15354191,1718.9,1710.8,1724.29,1806.63,-0.312592429
 2011/10/21,1675.78,1691.97,1670.21,1676.1,12411519,1705.1,1709.97,1718.86,1801.88,-0.800530584
 2011/10/24,1683.71,1732.73,1677.72,1729.03,21147412,1699.5,1715.95,1717.82,1797.95,-1.066467965
 2011/10/25,1726.16,1758.25,1714.41,1751.68,22395284,1708,1723.57,1717.53,1795.32,-0.554866582
 2011/10/26,1744.34,1784.97,1742.51,1765.63,26964188,1719.3,1726.38,1715.39,1792.84,0.227936504
 2011/10/27,1770.38,1779.52,1765,1774.51,17112432,1739.4,1729.15,1716.57,1790.44,1.329977805
 2011/10/28,1800.86,1827.02,1796.75,1807.06,29939992,1765.55,1735.32,1719.91,1788.88,2.653627225
 2011/10/31,1802.84,1804.65,1783.87,1792.05,17449738,1778.2,1738.85,1725.03,1786.95,3.082265236
 2011/11/01,1777.46,1817.01,1774.66,1795.39,19116514,1786.9,1747.45,1729.25,1785.04,3.333815238
 2011/11/02,1769.67,1826.5,1767.07,1825.45,22480140,1798.9,1759.1,1735.72,1783.89,3.639988017
 2011/11/03,1831.14,1842.77,1817.84,1819.04,27006072,1807.8,1773.6,1742.2,1782.66,3.76535415
 2011/11/04,1837.83,1843.95,1823.57,1831.76,20621640,1812.75,1789.15,1749.56,1781.6,3.611765244
 2011/11/07,1822.94,1831.18,1807.6,1809.8,14762364,1816.25,1797.22,1756.59,1780.93,3.396353162
 2011/11/08,1815.86,1824.78,1806.23,1808.61,16541326,1818.95,1802.93,1763.25,1781.16,3.158939458
 2011/11/09,1816.96,1827.78,1799.31,1821.76,15698569,1818.2,1808.55,1767.46,1781.5,2.870786326
 2011/11/10,1801.06,1806.33,1781.15,1781.91,17430390,1810.8,1809.3,1769.22,1780.95,2.350188219
 2011/11/11,1785.55,1792.47,1773.25,1779.51,11708221,1800.35,1806.55,1770.94,1779.94,1.660699967
 2011/11/14,1795.81,1820.18,1792.32,1816.06,15535637,1801.6,1808.93,1773.89,1779.57,1.562103625
 2011/11/15,1812.98,1816.79,1801.09,1808.18,12821976,1801.5,1810.22,1778.84,1778.5,1.273863866
 2011/11/16,1807.2,1807.78,1746.77,1755.42,18744140,1788.2,1803.2,1781.15,1776.7,0.395811695
 2011/11/17,1757.49,1763.61,1746.85,1748.45,11045417,1781.5,1796.15,1784.88,1774.88,-0.189368473
 2011/11/18,1735.99,1743.97,1716.7,1720.76,13167270,1769.75,1785.05,1787.1,1773.14,-0.970846623
 2011/11/21,1722.91,1725.43,1706.58,1721.39,9377582,1750.85,1776.22,1786.72,1771.72,-2.007589326
 2011/11/22,1710.98,1724.4,1705.2,1722.23,9385457,1733.65,1767.57,1785.25,1770.6,-2.890351491
 2011/11/23,1724.36,1726.67,1697.16,1701.06,9955157,1722.8,1755.5,1782.03,1768.59,-3.323737535
 2011/11/24,1688.78,1716.05,1685.9,1704.69,9665787,1714.05,1747.78,1778.54,1766.89,-3.626007849
 2011/11/25,1701.69,1709.08,1686.99,1691.67,7423627,1708.2,1738.97,1772.76,1763.78,-3.641778921
 2011/11/28,1698.3,1707.17,1689.06,1693.67,7888404,1702.65,1726.75,1767.84,1760.73,-3.68755091
 2011/11/29,1708.18,1717.55,1699.17,1716.09,9754910,1701.4,1717.53,1763.88,1758.72,-3.542191079
 2011/11/30,1709.35,1712.7,1657.63,1662.75,14433324,1693.75,1708.28,1755.74,1755.85,-3.530705002
 2011/12/01,1717.71,1745.93,1708.12,1713.05,27007356,1695.4,1704.72,1750.44,1753.7,-3.144352277
 2011/12/02,1705.31,1711.5,1692.42,1704.46,11264238,1698,1703.1,1744.07,1751.44,-2.641522416
 2011/12/05,1708.96,1711.91,1688.55,1694.5,12438514,1698.15,1700.4,1738.31,1749.34,-2.310289879
 2011/12/06,1690.46,1697.61,1681.59,1689.01,9770044,1692.75,1697.07,1732.32,1747.71,-2.284220006
 2011/12/07,1691.44,1706.95,1687.76,1702.45,8948663,1700.7,1697.22,1726.36,1746.43,-1.486364374
 2011/12/08,1701.29,1716.27,1684.76,1701.68,9668597,1698.45,1696.93,1722.35,1744.56,-1.387638982
 2011/12/09,1690.05,1702.82,1687.85,1692.06,8058700,1695.95,1696.97,1717.97,1742.76,-1.281745316
 2011/12/12,1689.72,1692.53,1677.49,1678.7,7647060,1692.8,1695.47,1711.11,1740.72,-1.07006563
 2011/12/13,1671.84,1676.7,1643.9,1645.81,13306577,1684.15,1688.45,1702.99,1738.44,-1.106289526
 2011/12/14,1643.02,1654.88,1633.56,1637.01,8813060,1671.05,1685.88,1697.07,1735.93,-1.533230804
 2011/12/15,1626.69,1632.75,1598.38,1599.01,12535118,1650.5,1674.47,1689.6,1732.92,-2.314157197
 2011/12/16,1598.07,1629.97,1594.29,1629,13261997,1637.9,1666.93,1685.01,1730.32,-2.795829105
 2011/12/19,1615.95,1627.46,1584.3,1625.26,13820488,1627.2,1660,1680.2,1728.25,-3.154386383
 2011/12/20,1619.8,1646.73,1617.28,1624.44,12108649,1622.95,1653.55,1675.31,1726.03,-3.125391719
 2011/12/21,1637.36,1643.84,1602.5,1604.25,11904536,1616.4,1643.72,1670.47,1722.63,-3.236813591
 2011/12/22,1597.31,1618.7,1584.15,1608.24,14267739,1618.25,1634.38,1665.65,1720.25,-2.845735899
 2011/12/23,1606.29,1632.54,1602.88,1617.94,11340570,1616.05,1626.97,1661.97,1718.22,-2.762986095
 2011/12/26,1608.53,1621.94,1600.5,1601.47,9966687,1611.3,1619.25,1657.36,1716.74,-2.779118598
 2011/12/27,1599.41,1613.96,1589.09,1590.99,9569049,1604.6,1613.78,1651.11,1714.75,-2.816892878
 2011/12/28,1586.22,1596.69,1571.51,1594.83,12078006,1602.7,1609.55,1647.71,1713.06,-2.731670015
 2011/12/29,1588.04,1604.2,1586.14,1596.59,10474705,1600.35,1609.3,1641.89,1711.51,-2.530011146
 2011/12/30,1602.32,1620.4,1602.32,1617.61,13122202,1600.3,1608.18,1637.55,1710.4,-2.274739703
 2012/01/04,1628.17,1631.26,1594.42,1595.12,12822705,1599,1605.15,1632.57,1709.16,-2.056267113
 2012/01/05,1591.24,1622.84,1590.54,1596.59,18078364,1600.15,1602.38,1627.96,1707.85,-1.708272931
 2012/01/06,1595.73,1609.21,1588.6,1608.36,13869973,1602.85,1602.78,1623.25,1705.69,-1.256738026
 2012/01/09,1608.49,1659.58,1598.39,1659.05,21627580,1615.35,1607.85,1621.11,1704.23,-0.355312101
 2012/01/10,1658.2,1707.6,1655.3,1704.74,28517416,1632.75,1616.53,1621.75,1703.55,0.678279636
 2012/01/11,1703.65,1709.89,1686.64,1694.26,18430906,1652.6,1625.8,1622.53,1702.51,1.853278522
 2012/01/12,1690.39,1717.8,1688.18,1701.45,17766372,1673.55,1636.85,1625.31,1702.38,2.968049172
 2012/01/13,1703.39,1710.49,1671.29,1685.91,17531050,1689.1,1645.97,1627.76,1702,3.768368801
 2012/01/16,1676.14,1689.84,1661.38,1661.99,11617615,1689.7,1652.53,1630.91,1701.8,3.604736006
 2012/01/17,1664.48,1736.96,1649.04,1736.61,25662976,1696.05,1664.4,1636.29,1702.8,3.652164347
 2012/01/18,1736.29,1750.11,1709.79,1714.7,21955716,1700.15,1676.38,1640.76,1702.56,3.619664058
 2012/01/19,1717.14,1757.25,1713.95,1750.52,21808600,1709.95,1691.75,1647.06,1702.54,3.818318701
 2012/01/20,1756.78,1779,1748.67,1775.09,22211600,1727.75,1708.43,1655.6,1702.7,4.3579367
 2012/01/30,1778.14,1778.14,1742.28,1742.82,18884774,1743.95,1716.82,1662.34,1702.18,4.909344659
 2012/01/31,1744.22,1754.77,1734.05,1744.71,13032093,1745.55,1720.8,1668.66,1701.13,4.607888965
 2012/02/01,1739.64,1751.56,1709.54,1713.68,13526270,1745.35,1722.75,1674.28,1699.82,4.244809709
 2012/02/02,1720,1761.94,1714.25,1761.94,17495140,1747.65,1728.8,1682.82,1699.27,3.852461939
 2012/02/03,1756.15,1780.22,1750.36,1772.19,19013624,1747.1,1737.43,1691.7,1698.38,3.274812319
 2012/02/06,1775.44,1781.89,1753.43,1764.82,16663063,1751.45,1747.7,1700.11,1697.48,3.019804601
 2012/02/07,1753.38,1756.3,1721.85,1732.02,14938529,1748.95,1747.25,1705.82,1695.82,2.528402762
 2012/02/08,1731.99,1786.2,1729.54,1782.06,22114500,1762.6,1753.97,1715.18,1695.35,2.764724402
 2012/02/09,1781.15,1789.08,1771.09,1778.1,19641196,1765.85,1756.75,1724.25,1694.85,2.412643178
 2012/02/10,1772.19,1800.03,1770.81,1778.32,23482256,1767.05,1757.07,1732.75,1694.12,1.979512336
 2012/02/13,1757.02,1786.48,1751.07,1768.54,17557924,1767.8,1759.63,1738.22,1693.9,1.701740861
 2012/02/14,1765.87,1767.77,1747.83,1758.98,12775513,1773.2,1761.07,1740.94,1693.55,1.853021931
 2012/02/15,1753.78,1784.24,1751.11,1773.17,18224436,1771.45,1767.03,1744.89,1692.84,1.52215899
 2012/02/16,1770.4,1776.92,1751.36,1761.88,17181728,1768.15,1767,1747.9,1692.07,1.158533097
 2012/02/17,1774.19,1778.63,1756.95,1765.65,12351480,1765.65,1766.35,1751.89,1692.24,0.785437442
 2012/02/20,1790.39,1792.51,1768.06,1769.41,18156016,1765.8,1766.8,1757.25,1692.59,0.486555698
 2012/02/21,1772.25,1780.56,1756.41,1779.94,13532793,1770,1771.6,1759.43,1693.57,0.600762747
 2012/02/22,1781.98,1798.01,1772.43,1795.26,24083520,1774.4,1772.93,1763.45,1694.8,0.620941904
 2012/02/23,1794.35,1805.67,1791.19,1799.64,23418448,1782,1775.07,1765.91,1696.1,0.911144962
 2012/02/24,1801.39,1827.04,1797.05,1826.72,32001576,1794.2,1779.93,1768.5,1698.19,1.453208934
