date,close-5y,close-10y,10y-5y,5f-10f,5y-close-open,10y-close-open
2016-08-25,101.345,100.915,0.1712,0.43,-0.05,-0.14
2016-08-26,101.535,101.155,0.1492,0.38,0.155,0.21
2016-08-29,101.44,100.955,0.1453,0.485,-0.035,-0.1
2016-08-30,101.24,100.61,0.1864,0.63,-0.155,-0.305
2016-08-31,101.29,100.7,0.1712,0.59,0.015,0.045
2016-09-01,101.325,100.77,0.183,0.555,0.045,0.11
2016-09-02,101.305,100.74,0.1833,0.565,-0.05,-0.11
2016-09-05,101.28,100.705,0.177,0.575,-0.03,-0.02
2016-09-06,101.25,100.62,0.19,0.63,-0.03,-0.08
2016-09-07,101.225,100.565,0.2122,0.66,-0.075,-0.095
2016-09-08,101.355,100.755,0.2014,0.6,0.15,0.195
2016-09-09,101.405,100.85,0.2046,0.555,0.08,0.135
2016-09-12,101.29,100.645,0.2134,0.645,-0.075,-0.105
2016-09-13,101.405,100.92,0.1922,0.485,0.1,0.24
2016-09-14,101.435,100.975,0.1871,0.46,0.06,0.11
2016-09-19,101.44,101.01,0.1906,0.43,-0.005,0.045
2016-09-20,101.46,101.04,0.1751,0.42,0.015,-0.00999999999999
2016-09-21,101.465,101.035,0.1808,0.43,0.00500000000001,0.025
2016-09-22,101.47,101.02,0.1817,0.45,-0.015,-0.085
2016-09-23,101.54,101.15,0.1789,0.39,0.045,0.085
2016-09-27,101.6,101.225,0.1608,0.375,0.075,-0.065
2016-09-28,101.615,101.2,0.1635,0.415,0.02,-0.00999999999999
2016-09-29,101.62,101.18,0.173,0.44,0.0,-0.00999999999999
2016-09-30,101.625,101.19,0.1769,0.435,0.0,0.0
2016-10-10,101.795,101.535,0.1601,0.26,0.045,0.125
2016-10-11,101.77,101.435,0.1695,0.335,-0.02,-0.09
2016-10-12,101.71,101.305,0.1901,0.405,-0.07,-0.085
2016-10-13,101.785,101.41,0.1747,0.375,0.1,0.155
2016-10-14,101.81,101.47,0.2275,0.34,0.045,0.065
2016-10-17,101.88,101.53,0.221,0.35,0.07,0.055
2016-10-18,101.84,101.485,0.2334,0.355,-0.00999999999999,0.005
2016-10-19,101.965,101.66,0.2313,0.305,0.105,0.18
2016-10-20,102.115,101.89,0.2247,0.225,0.105,0.16
2016-10-21,102.12,101.95,0.2395,0.17,-0.035,0.1
2016-10-24,101.92,101.605,0.2471,0.315,-0.175,-0.29
2016-10-25,101.84,101.5,0.2769,0.34,-0.06,-0.09
2016-10-26,101.69,101.285,0.2644,0.405,-0.05,-0.015
2016-10-27,101.88,101.52,0.2608,0.36,0.16,0.215
2016-10-28,101.885,101.56,0.2615,0.325,0.035,0.07
2016-10-31,101.705,101.245,0.2907,0.46,-0.14,-0.255
2016-11-01,101.755,101.33,0.2856,0.425,0.095,0.145
2016-11-02,101.825,101.365,0.3005,0.46,0.075,0.015
2016-11-03,101.91,101.53,0.288,0.38,0.045,0.085
2016-11-04,101.905,101.535,0.2815,0.37,0.01,0.015
2016-11-07,101.77,101.295,0.2812,0.475,-0.105,-0.18
2016-11-08,101.77,101.24,0.2901,0.53,0.06,-0.03
2016-11-09,101.76,100.415,0.2764,1.345,0.03,0.025
2016-11-10,101.045,100.085,0.3089,0.96,-0.075,-0.14
2016-11-11,100.895,99.87,0.2898,1.025,-0.075,-0.205
2016-11-14,100.765,99.67,0.27,1.095,-0.19,-0.31
2016-11-15,100.81,99.84,0.2478,0.97,0.01,0.12
2016-11-16,100.64,99.61,0.2471,1.03,-0.08,-0.19
2016-11-17,100.49,99.495,0.2417,0.995,-0.135,-0.085
2016-11-18,100.405,99.44,0.2319,0.965,-0.065,0.035
2016-11-21,100.445,99.535,0.2157,0.91,-0.11,0.045
2016-11-22,100.44,99.55,0.2097,0.89,-0.075,-0.085
2016-11-23,100.69,99.845,0.196,0.845,0.23,0.25
2016-11-24,100.645,99.695,0.2119,0.95,0.04,-0.055
2016-11-25,100.57,99.58,0.2174,0.99,-0.035,-0.085
2016-11-28,100.62,99.595,0.1915,1.025,0.02,-0.015
2016-11-29,100.2,98.93,0.181,1.27,-0.39,-0.62
