date,open,high,low,close
 2017/03/13,94.65,95.68,94.6,95.48
 2017/03/14,95.38,95.61,95.295,95.55
 2017/03/15,95.55,95.71,95.37,95.67
 2017/03/16,95.91,96.68,95.815,96.355
 2017/03/17,96.25,96.525,96.15,96.28
 2017/03/20,96.3,96.545,96.12,96.365
 2017/03/21,96.2,96.62,96.01,96.58
 2017/03/22,96.66,96.765,96.425,96.58
 2017/03/23,96.6,96.775,96.305,96.7
 2017/03/24,96.655,97.45,96.57,97.315
 2017/03/27,97.315,97.44,97.11,97.31
 2017/03/28,97.4,97.48,96.87,96.91
 2017/03/29,96.87,97.285,96.73,96.905
 2017/03/30,96.91,96.99,96.59,96.85
 2017/03/31,96.87,97.15,96.66,96.84
 2017/04/05,97.01,97.225,96.325,96.54
 2017/04/06,96.495,96.82,96.435,96.81
 2017/04/07,96.825,97.165,96.815,97.16
 2017/04/10,97.095,97.12,96.735,96.835
 2017/04/11,96.775,97,96.62,96.935
 2017/04/12,97.055,97.18,96.725,96.77
 2017/04/13,96.91,97.075,96.58,96.905
 2017/04/14,96.9,97,96.46,96.49
 2017/04/17,96.37,96.58,96.025,96.065
 2017/04/18,95.945,96.255,95.845,96.15
 2017/04/19,96.27,96.37,96.07,96.275
 2017/04/20,96.15,96.35,95.96,96.225
 2017/04/21,96.1,96.24,95.725,95.835
 2017/04/24,95.69,95.78,95.27,95.39
 2017/04/25,95.39,95.96,95.385,95.88
 2017/04/26,95.795,96.08,95.755,95.93
 2017/04/27,95.95,96.25,95.825,96.095
 2017/04/28,96.045,96.105,95.795,95.91
 2017/05/02,95.9,96.13,95.67,95.775
 2017/05/03,95.655,95.775,95.33,95.665
 2017/05/04,95.64,95.78,95.18,95.18
 2017/05/05,95.22,95.36,95.065,95.235
 2017/05/08,95.2,95.325,94.79,94.84
 2017/05/09,94.02,94.35,94.01,94.015
 2017/05/10,94.1,94.27,93.505,93.65
 2017/05/11,93.785,94.41,93.62,94.315
 2017/05/12,94.3,94.64,93.97,93.995
 2017/05/15,94.3,94.75,94.28,94.515
 2017/05/16,94.455,94.505,94.15,94.325
 2017/05/17,94.36,94.525,94.065,94.445
 2017/05/18,94.68,94.875,94.5,94.705
 2017/05/19,94.65,94.755,94.38,94.66
 2017/05/22,94.52,94.595,94.085,94.085
 2017/05/23,94.08,94.335,94.025,94.075
