date,close-5y,close-10y,10y-5y,5f-10f
2017/3/20,98.815,96.365,0.1937,2.45
2017/3/21,98.955,96.58,0.17,2.375
2017/3/22,98.865,96.58,0.1545,2.285
2017/3/23,98.945,96.7,0.161,2.245
2017/3/24,99.26,97.315,0.1489,1.945
2017/3/27,99.375,97.31,0.1627,2.065
2017/3/28,99.22,96.91,0.1868,2.31
2017/3/29,99.205,96.905,0.1938,2.3
2017/3/30,99.21,96.85,0.2059,2.36
2017/3/31,99.24,96.84,0.2046,2.4
2017/4/5,99.055,96.54,0.2219,2.515
2017/4/6,99.145,96.81,0.2013,2.335
2017/4/7,99.265,97.16,0.2078,2.105
2017/4/10,99.11,96.835,0.2059,2.275
2017/4/11,99.15,96.935,0.195,2.215
2017/4/12,99,96.77,0.1635,2.23
2017/4/13,99.05,96.905,0.1625,2.145
2017/4/14,98.815,96.49,0.1849,2.325
2017/4/17,98.555,96.065,0.1652,2.49
2017/4/18,98.57,96.15,0.1456,2.42
2017/4/19,98.67,96.275,0.1356,2.395
2017/4/20,98.655,96.225,0.1479,2.43
2017/4/21,98.41,95.835,0.1399,2.575
2017/4/24,98.14,95.39,0.1215,2.75
2017/4/25,98.385,95.88,0.1196,2.505
2017/4/26,98.42,95.93,0.11,2.49
2017/4/27,98.405,96.095,0.1151,2.31
2017/4/28,98.305,95.91,0.1251,2.395
2017/5/2,98.26,95.775,0.1152,2.485
2017/5/3,98.155,95.665,0.1102,2.49
2017/5/4,97.765,95.18,0.0854,2.585
2017/5/5,97.715,95.235,0.0779,2.48
2017/5/8,97.465,94.84,0.0681,2.625
2017/5/9,97.375,94.015,0.0404,3.36
2017/5/10,96.97,93.65,0.0081,3.32
2017/5/11,97.41,94.315,0.0091,3.095
2017/5/12,97.095,93.995,-0.0017,3.1
2017/5/15,97.39,94.515,-0.0159,2.875
2017/5/16,97.345,94.325,-0.0229,3.02
2017/5/17,97.29,94.445,-0.0525,2.845
2017/5/18,97.355,94.705,-0.0379,2.65
2017/5/19,97.265,94.66,-0.0573,2.605
2017/5/22,96.895,94.085,-0.0603,2.81
